Features;OoO-N-10;OoO-N-20;OoO-N-30;OoO-N-40;OoO-N-50;OoO-N-60;OoO-N-70;OoO-N-80;OoO-N-90;OoO-N-100;OoO-N-200;OoO-N-300;OoO-S1-10;OoO-S1-20;OoO-S1-30;OoO-S1-40;OoO-S1-50;OoO-S1-60;OoO-S1-70;OoO-S1-80;OoO-S1-90;OoO-S1-100;OoO-S1-200;OoO-S2-10;OoO-S2-20;OoO-S2-30;OoO-S2-40;OoO-S2-50;OoO-S2-60;OoO-S2-70;OoO-S2-80;OoO-S2-90;OoO-S2-100;OoO-S2-200;OoO-S2-300;OoO-S3-10;OoO-S3-20;OoO-S3-30;OoO-S3-40;OoO-S3-50;OoO-S3-60;OoO-S3-70;OoO-S3-80;OoO-S3-90;OoO-S3-100;OoO-S3-200;OoO-S3-300
system.cpu.exec_context.thread_0.numCallsReturns;7331096;7331156;7331216;7331276;7331336;7331396;7332026;7332086;7332146;7332206;7333946;7335116;5278396;5278510;5278474;5278600;5278630;5278756;5279338;5279326;5279416;5279500;5281162;5460680;5663042;5865380;6067742;6270122;6472238;6675110;6876992;7079072;7281506;9301586;25988516;25984496;25984556;25984616;25984676;25984736;25984796;25985426;25984616;25985546;25985606;25987346;25988516
system.cpu.exec_context.thread_0.numCondCtrlInsts;70624338;104839954;139055596;173271224;207486835;241702474;279322578;313538214;347753850;381969481;730934792;1076495574;62299782;96515526;130730928;164946716;199162247;233378110;270998030;305213530;339429222;373644941;722610052;63049024;98096739;133144349;168192035;203239762;238286905;276738973;311785517;346832661;381880557;739155428;1152159270;146288034;180503650;214719292;248934920;283150531;317366170;354986274;214719292;423417546;457633177;806598488;1152159270
system.cpu.exec_context.thread_0.numIntInsts;2403472053;4276788015;6150104138;8023420187;9896736098;11770052197;13716025147;15589341233;17462657319;19335973397;38214448151;57020265608;2290203981;4163521871;6036834442;7910152883;9783467634;11656786765;13602757299;15476071161;17349388167;19222705413;38101177187;2300375738;4184986873;6069596582;7954207383;9838818864;11723421245;13680687309;15565280909;17449882885;19334496627;38325751540;58049737176;3432943621;5306259583;7179575706;9052891755;10926207666;12799523765;14745496715;7179575706;18492128887;20365444965;39243919719;58049737176
system.cpu.exec_context.thread_0.numFpInsts;5410812171;10485927131;15561042091;20636157051;25711272011;30786386971;36001875747;41076990707;46152105667;51227220627;1,02259E+11;1,53151E+11;5406834549;10481949509;15557064469;20632179429;25707294389;30782409349;35997898125;41073013085;46148128045;51223243005;1,02255E+11;5407196151;10482712891;15558229631;20633746371;25709263111;30784779851;36000670407;41076187147;46151703887;51227220627;1,02263E+11;1,53187E+11;5446972371;10522087331;15597202291;20672317251;25747432211;30822547171;36038035947;15597202291;46188265867;51263380827;1,02295E+11;1,53187E+11
system.cpu.exec_context.thread_0.numVecInsts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numIntRegReads;2390845118;4180420641;5969996319;7759571959;9549147435;11338723086;13200163490;14989739137;16779314784;18568890456;36608376634;54575997658;2240049984;4029628028;5819199050;7608777821;9398351772;11187931450;13049368630;14838941401;16628518237;18418095465;36457577690;2253599059;4058220390;5862839743;7667460592;9472082382;11276692215;13153175752;14957774078;16762383477;18567008177;36756726711;55946547702;3761395162;5550970685;7340546363;9130122003;10919697479;12709273130;14570713534;7340546363;18149864828;19939440500;37978926678;55946547702
system.cpu.exec_context.thread_0.numIntRegWrites;520352548;768524678;1016696917;1264869123;1513041219;1761213441;2026416788;2274589002;2522761216;2770933431;5286717961;7785471092;437969418;686142928;934312611;1182486533;1430657789;1678832255;1944033796;2192204456;2440377312;2688550397;5204332766;445372530;701765673;958157711;1214550581;1470943949;1727330810;2000753707;2257134239;2513520909;2769915903;5367787103;8534240410;1269121866;1517293996;1765466235;2013638441;2261810537;2509982759;2775186106;1765466235;3271530534;3519702749;6035487279;8534240410
system.cpu.exec_context.thread_0.numFpRegReads;8590868181;16727784621;24864701061;33001617501;41138533941;49275450381;57610345444;65747261884;73884178324;82021094764;1,63786E+11;2,45353E+11;8583879969;16720796409;24857712849;32994629289;41131545729;49268462169;57603357232;65740273672;73877190112;82014106552;1,63779E+11;8584515261;16722137581;24859759901;32997382221;41135004541;49272626861;57608227804;65745850124;73883472444;82021094764;1,63793E+11;2,45417E+11;8654397381;16791313821;24928230261;33065146701;41202063141;49338979581;57673874644;24928230261;73947707524;82084623964;1,6385E+11;2,45417E+11
system.cpu.exec_context.thread_0.numFpRegWrites;4766470410;9270061370;13773652330;18277243290;22780834250;27284425210;31917686772;36421277732;40924868692;45428459652;90723710456;1,35889E+11;4762975116;9266566076;13770157036;18273747996;22777338956;27280929916;31914191478;36417782438;40921373398;45424964358;90720215162;4763292870;9267236890;13771180910;18275124930;22779068950;27283012970;31916627592;36420571612;40924515632;45428459652;90727241056;1,35921E+11;4798245810;9301836770;13805427730;18309018690;22812609650;27316200610;31949462172;13805427730;40956644092;45460235052;90755485856;1,35921E+11
system.cpu.exec_context.thread_0.numVecRegReads;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numVecRegWrites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numVecPredRegReads;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
